,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
2688,Hepatitis E, joint pain, vomiting, fatigue, high fever
2689,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2690,Tuberculosis, chills, vomiting, fatigue, weight loss
2691,Common Cold, continuous sneezing, chills, fatigue, cough
2692,Pneumonia, chills, fatigue, cough, high fever
2693,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2694,Heart attack, vomiting, breathlessness, sweating, chest pain
2695,Varicose veins, fatigue, cramps, bruising, obesity
2696,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2697,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2698,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2699,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2700,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2701,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2702,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2703,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2704,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2705,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2706,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2707,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2708,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2709,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2710,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2711,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2712, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2713,Diabetes , fatigue, weight loss, restlessness, lethargy
2714,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2715,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2716,Hypertension , headache, chest pain, dizziness, loss of balance
2717,Migraine, acidity, indigestion, headache, blurred and distorted vision
2718,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2719,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2720,Jaundice,itching, vomiting, fatigue, weight loss
2721,Malaria, chills, vomiting, high fever, sweating
2722,Chicken pox,itching, skin rash, fatigue, lethargy
2723,Dengue, skin rash, chills, joint pain, vomiting
2724,Allergy, chills, vomiting, fatigue, high fever
2725,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2726,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2727,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2728,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2729,Hepatitis E, joint pain, vomiting, fatigue, high fever
2730,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2731,Tuberculosis, chills, vomiting, fatigue, weight loss
2732,Common Cold, continuous sneezing, chills, fatigue, cough
2733,Pneumonia, chills, fatigue, cough, high fever
2734,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2735,Heart attack, vomiting, breathlessness, sweating, chest pain
2736,Varicose veins, fatigue, cramps, bruising, obesity
2737,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2738,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2739,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2740,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2741,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2742,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2743,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2744,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2745,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2746,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2747,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2748,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2749,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2750,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2751,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2752,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2753, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2754,Diabetes , fatigue, weight loss, restlessness, lethargy
2755,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2756,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2757,Hypertension , headache, chest pain, dizziness, loss of balance
2758,Migraine, acidity, indigestion, headache, blurred and distorted vision
2759,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2760,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2761,Jaundice,itching, vomiting, fatigue, weight loss
2762,Malaria, chills, vomiting, high fever, sweating
2763,Chicken pox,itching, skin rash, fatigue, lethargy
2764,Dengue, skin rash, chills, joint pain, vomiting
2765,Allergy, chills, vomiting, fatigue, high fever
2766,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2767,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2768,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2769,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2770,Hepatitis E, joint pain, vomiting, fatigue, high fever
2771,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2772,Tuberculosis, chills, vomiting, fatigue, weight loss
2773,Common Cold, continuous sneezing, chills, fatigue, cough
2774,Pneumonia, chills, fatigue, cough, high fever
2775,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2776,Heart attack, vomiting, breathlessness, sweating, chest pain
2777,Varicose veins, fatigue, cramps, bruising, obesity
2778,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2779,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2780,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2781,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2782,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2783,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2784,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2785,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2786,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2787,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2788,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2789,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2790,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2791,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2792,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2793,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2794, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2795,Diabetes , fatigue, weight loss, restlessness, lethargy
2796,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2797,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2798,Hypertension , headache, chest pain, dizziness, loss of balance
2799,Migraine, acidity, indigestion, headache, blurred and distorted vision
2800,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2801,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2802,Jaundice,itching, vomiting, fatigue, weight loss
2803,Malaria, chills, vomiting, high fever, sweating
2804,Chicken pox,itching, skin rash, fatigue, lethargy
2805,Dengue, skin rash, chills, joint pain, vomiting
2806,Allergy, chills, vomiting, fatigue, high fever
2807,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2808,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2809,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2810,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2811,Hepatitis E, joint pain, vomiting, fatigue, high fever
2812,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2813,Tuberculosis, chills, vomiting, fatigue, weight loss
2814,Common Cold, continuous sneezing, chills, fatigue, cough
2815,Pneumonia, chills, fatigue, cough, high fever
2816,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2817,Heart attack, vomiting, breathlessness, sweating, chest pain
2818,Varicose veins, fatigue, cramps, bruising, obesity
2819,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2820,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2821,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2822,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2823,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2824,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2825,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2826,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2827,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2828,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2829,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2830,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2831,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2832,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2833,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2834,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2835, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2836,Diabetes , fatigue, weight loss, restlessness, lethargy
2837,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2838,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2839,Hypertension , headache, chest pain, dizziness, loss of balance
2840,Migraine, acidity, indigestion, headache, blurred and distorted vision
2841,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2842,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2843,Jaundice,itching, vomiting, fatigue, weight loss
2844,Malaria, chills, vomiting, high fever, sweating
2845,Chicken pox,itching, skin rash, fatigue, lethargy
2846,Dengue, skin rash, chills, joint pain, vomiting
2847,Allergy, chills, vomiting, fatigue, high fever
2848,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2849,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2850,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2851,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2852,Hepatitis E, joint pain, vomiting, fatigue, high fever
2853,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2854,Tuberculosis, chills, vomiting, fatigue, weight loss
2855,Common Cold, continuous sneezing, chills, fatigue, cough
2856,Pneumonia, chills, fatigue, cough, high fever
2857,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2858,Heart attack, vomiting, breathlessness, sweating, chest pain
2859,Varicose veins, fatigue, cramps, bruising, obesity
2860,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2861,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2862,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2863,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2864,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2865,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2866,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2867,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2868,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2869,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2870,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2871,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2872,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2873,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2874,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2875,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2876, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2877,Diabetes , fatigue, weight loss, restlessness, lethargy
2878,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2879,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2880,Hypertension , headache, chest pain, dizziness, loss of balance
2881,Migraine, acidity, indigestion, headache, blurred and distorted vision
2882,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2883,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2884,Jaundice,itching, vomiting, fatigue, weight loss
2885,Malaria, chills, vomiting, high fever, sweating
2886,Chicken pox,itching, skin rash, fatigue, lethargy
2887,Dengue, skin rash, chills, joint pain, vomiting
2888,Allergy, chills, vomiting, fatigue, high fever
2889,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2890,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2891,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2892,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2893,Hepatitis E, joint pain, vomiting, fatigue, high fever
2894,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2895,Tuberculosis, chills, vomiting, fatigue, weight loss
2896,Common Cold, continuous sneezing, chills, fatigue, cough
2897,Pneumonia, chills, fatigue, cough, high fever
2898,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2899,Heart attack, vomiting, breathlessness, sweating, chest pain
2900,Varicose veins, fatigue, cramps, bruising, obesity
2901,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2902,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2903,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2904,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2905,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2906,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2907,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2908,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2909,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2910,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2911,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2912,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2913,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2914,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2915,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2916,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2917, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2918,Diabetes , fatigue, weight loss, restlessness, lethargy
2919,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2920,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2921,Hypertension , headache, chest pain, dizziness, loss of balance
2922,Migraine, acidity, indigestion, headache, blurred and distorted vision
2923,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2924,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2925,Jaundice,itching, vomiting, fatigue, weight loss
2926,Malaria, chills, vomiting, high fever, sweating
2927,Chicken pox,itching, skin rash, fatigue, lethargy
2928,Dengue, skin rash, chills, joint pain, vomiting
2929,Allergy, chills, vomiting, fatigue, high fever
2930,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2931,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2932,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2933,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2934,Hepatitis E, joint pain, vomiting, fatigue, high fever
2935,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2936,Tuberculosis, chills, vomiting, fatigue, weight loss
2937,Common Cold, continuous sneezing, chills, fatigue, cough
2938,Pneumonia, chills, fatigue, cough, high fever
2939,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2940,Heart attack, vomiting, breathlessness, sweating, chest pain
2941,Varicose veins, fatigue, cramps, bruising, obesity
2942,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2943,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2944,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2945,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2946,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2947,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2948,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2949,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2950,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2951,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2952,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2953,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2954,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2955,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2956,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2957,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2958, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
2959,Diabetes , fatigue, weight loss, restlessness, lethargy
2960,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2961,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2962,Hypertension , headache, chest pain, dizziness, loss of balance
2963,Migraine, acidity, indigestion, headache, blurred and distorted vision
2964,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
2965,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
2966,Jaundice,itching, vomiting, fatigue, weight loss
2967,Malaria, chills, vomiting, high fever, sweating
2968,Chicken pox,itching, skin rash, fatigue, lethargy
2969,Dengue, skin rash, chills, joint pain, vomiting
2970,Allergy, chills, vomiting, fatigue, high fever
2971,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2972,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2973,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2974,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2975,Hepatitis E, joint pain, vomiting, fatigue, high fever
2976,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2977,Tuberculosis, chills, vomiting, fatigue, weight loss
2978,Common Cold, continuous sneezing, chills, fatigue, cough
2979,Pneumonia, chills, fatigue, cough, high fever
2980,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
2981,Heart attack, vomiting, breathlessness, sweating, chest pain
2982,Varicose veins, fatigue, cramps, bruising, obesity
2983,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2984,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2985,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2986,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
2987,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
2988,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2989,Acne, skin rash, pus_filled_pimples, blackheads, scurring
2990,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2991,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
2992,Impetigo, skin rash, high fever, blister, red_sore_around_nose
2993,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
2994,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
2995,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2996,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2997,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2998,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2999, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
3000,Diabetes , fatigue, weight loss, restlessness, lethargy
3001,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
3002,Bronchial Asthma, fatigue, cough, high fever, breathlessness
3003,Hypertension , headache, chest pain, dizziness, loss of balance
3004,Migraine, acidity, indigestion, headache, blurred and distorted vision
3005,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
3006,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
3007,Jaundice,itching, vomiting, fatigue, weight loss
3008,Malaria, chills, vomiting, high fever, sweating
3009,Chicken pox,itching, skin rash, fatigue, lethargy
3010,Dengue, skin rash, chills, joint pain, vomiting
3011,Allergy, chills, vomiting, fatigue, high fever
3012,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
3013,Hepatitis B,itching, fatigue, lethargy, yellowish skin
3014,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
3015,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
3016,Hepatitis E, joint pain, vomiting, fatigue, high fever
3017,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
3018,Tuberculosis, chills, vomiting, fatigue, weight loss
3019,Common Cold, continuous sneezing, chills, fatigue, cough
3020,Pneumonia, chills, fatigue, cough, high fever
3021,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
3022,Heart attack, vomiting, breathlessness, sweating, chest pain
3023,Varicose veins, fatigue, cramps, bruising, obesity
3024,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
3025,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
3026,Hypoglycemia, vomiting, fatigue, anxiety, sweating
3027,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
3028,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
3029,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
3030,Acne, skin rash, pus_filled_pimples, blackheads, scurring
3031,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
3032,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
3033,Impetigo, skin rash, high fever, blister, red_sore_around_nose
3034,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
3035,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
3036,GERD, stomach pain, acidity, ulcers on tongue, vomiting
3037,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
3038,Drug Reaction,itching, skin rash, stomach pain, burning micturition
3039,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
3040, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
3041,Diabetes , fatigue, weight loss, restlessness, lethargy
3042,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
3043,Bronchial Asthma, fatigue, cough, high fever, breathlessness
3044,Hypertension , headache, chest pain, dizziness, loss of balance
3045,Migraine, acidity, indigestion, headache, blurred and distorted vision
3046,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
3047,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
3048,Jaundice,itching, vomiting, fatigue, weight loss
3049,Malaria, chills, vomiting, high fever, sweating
3050,Chicken pox,itching, skin rash, fatigue, lethargy
3051,Dengue, skin rash, chills, joint pain, vomiting
3052,Allergy, chills, vomiting, fatigue, high fever
3053,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
3054,Hepatitis B,itching, fatigue, lethargy, yellowish skin
3055,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
3056,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
3057,Hepatitis E, joint pain, vomiting, fatigue, high fever
3058,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
3059,Tuberculosis, chills, vomiting, fatigue, weight loss
3060,Common Cold, continuous sneezing, chills, fatigue, cough
3061,Pneumonia, chills, fatigue, cough, high fever
3062,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
3063,Heart attack, vomiting, breathlessness, sweating, chest pain
3064,Varicose veins, fatigue, cramps, bruising, obesity
3065,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
3066,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
3067,Hypoglycemia, vomiting, fatigue, anxiety, sweating
3068,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
3069,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
3070,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
3071,Acne, skin rash, pus_filled_pimples, blackheads, scurring
3072,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
3073,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
3074,Impetigo, skin rash, high fever, blister, red_sore_around_nose
3075,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
3076,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
3077,GERD, stomach pain, acidity, ulcers on tongue, vomiting
3078,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
3079,Drug Reaction,itching, skin rash, stomach pain, burning micturition
3080,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
3081, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
3082,Diabetes , fatigue, weight loss, restlessness, lethargy
3083,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
3084,Bronchial Asthma, fatigue, cough, high fever, breathlessness
3085,Hypertension , headache, chest pain, dizziness, loss of balance
3086,Migraine, acidity, indigestion, headache, blurred and distorted vision
3087,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
3088,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
3089,Jaundice,itching, vomiting, fatigue, weight loss
3090,Malaria, chills, vomiting, high fever, sweating
3091,Chicken pox,itching, skin rash, fatigue, lethargy
3092,Dengue, skin rash, chills, joint pain, vomiting
3093,Allergy, chills, vomiting, fatigue, high fever
3094,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
3095,Hepatitis B,itching, fatigue, lethargy, yellowish skin
3096,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
3097,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
3098,Hepatitis E, joint pain, vomiting, fatigue, high fever
3099,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
3100,Tuberculosis, chills, vomiting, fatigue, weight loss
3101,Common Cold, continuous sneezing, chills, fatigue, cough
3102,Pneumonia, chills, fatigue, cough, high fever
3103,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
3104,Heart attack, vomiting, breathlessness, sweating, chest pain
3105,Varicose veins, fatigue, cramps, bruising, obesity
3106,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
3107,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
3108,Hypoglycemia, vomiting, fatigue, anxiety, sweating
3109,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
